Projects,Cover,Date,Description,Director,Genre,Related,Status,Writers,Year
上岸的魚 A Fish Out of Water,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/fish.jpeg,2018年3月16日,,導演 賴國安,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=I4372rSZYWM
▶️ https://www.catchplay.com/tw/video/df3365c8-c5b0-4680-beb0-492db4e030ec
▶️ https://www.myvideo.net.tw/details/0/194681",Done,編劇 賴國安,2018
遇見王瀝川 Remembering Lichuan,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-03_at_20.02.19.png,2016年7月31日,預告、前導片花、正式片花剪輯,導演 陳銘章,預告片花 Trailer,"▶️ https://youtu.be/xFMotwsGRSY?si=QRd74RZ9YP1yjy7W
▶️ https://youtu.be/_PtmhmMvGG0?si=hQgO8EKh8ooUAMYY
▶️ https://youtu.be/NV74g3OEGag?si=qiHVK-azrqb5vDOC",Done,編劇 施定柔,2016
百年原殤：混濁 Mangotaay,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/hq720.jpg,2025年4月5日,西元 1877 年，清軍入侵 Cepo’地區的阿美族部落。戰火中，Kacaw 目睹 Sawmah 和 Nakaw 兩兄妹痛失至親，族人們被迫離開家園，頭目 Mayaw 帶領大家翻山越嶺地逃往北方的奇拉雅山。在飢寒交迫的困境中，Kacaw 對著成為孤兒的兄妹心懷愧疚，同時憂心 Usay 和未出世的孩子，他試圖說服 Mayaw 接受清兵的承諾。內心掙扎的 Mayaw，在失去家園和糧食殆盡的絕望下，只能選擇相信清兵，下山搬運米糧。清兵會信守承諾地讓族人們重返故土，還是另有所圖呢？這一趟，Cepo’的族人們真的能得償所願地回家嗎？,導演 勒嘎・舒米 Lekal Sumi,短片 Short Film,▶️  https://www.youtube.com/watch?v=gqbf06rGtm4,Done,,2025
百年原殤：抉擇 Dngusun,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/hq720-1.jpg,2025年4月6日,"1896 年，太魯閣族少年 Umin（烏敏）在新城目擊日軍侵犯婦女，揭開族人抗日的序幕。昔日的噤聲埋下負疚，兄長被日軍射殺的魘影更日日闖入夢中。
1913 年，已有妻孩的 Umin 在山中偶遇一支由日本警視率領的探險隊，這回他決定不再坐以待斃。然而面對頭目的考量、兄長的叮囑、探險隊裡的各有所圖、族人們的命運未卜，Umin 陷入了殺與不殺的抉擇風暴。
以戰爭為錨，青年心緒為引，透見太魯閣族抗擊日軍的浩瀚 18 載，這是 20 世紀發生在臺灣本島最大的一場戰爭。",導演 蘇弘恩 Ungen Mehan,短片 Short Film,▶️ https://www.youtube.com/watch?v=OFho4Wjl4vE,Done,,2025
拜六禮拜 Holiday,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/497730336_122164419620551632_57758611503755856_n.jpg,2025年6月8日,「放下的那一天，就是假期」你會怎麼過你的拜六禮拜？有的人會一直加班，因為回家也沒有人在等他，人生過得很孤單有的人把所有的時間都拿去愛別人，卻過得比平常更累還更辛苦其實這些都不要緊，不過大家好像都忘了拜六禮拜真正的用意是「好好休息」有的時候人過得隨便一點，你的人生會更chill～,導演 杜政哲,劇集 Series,"▶️  https://www.facebook.com/share/v/1BpuCTH5Qe/
▶️  https://www.youtube.com/watch?v=bLGZhj5XbZs
▶️  https://www.youtube.com/watch?v=Q4lSvwemH9w",Done,編劇 杜政哲、林晏如、洪偉城、許瑋哲、劉思慧,2025
劉若英 - 別人,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.54.12.png,,,導演 胡世山,音樂錄影帶 Music Video,▶️ https://youtu.be/VG5YVL-WyQI?si=edsXLHA9oG5BJd-V,Done,,2005
夏日最後的祕密 Summer Blue Hour,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/473096089_122107576496711309_452250625718281418_n.jpg,2025年4月30日,前導預告、正式預告剪輯,導演 邱晧洲,預告片花 Trailer,"▶️ https://www.facebook.com/VVPfans/videos/1164626838355262
▶️ https://www.youtube.com/watch?v=Ee0bpCHmbww",Done,,2025
我在未來等你 Waiting For You In The Future,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/wwww.jpg,2019年9月9日,豆瓣8.3，廣電總局2019年度優秀網絡視聽作品獲獎。,導演 薛凌、張超理,劇集 Series,"▶️ https://youtu.be/AAoZh8TPe14?si=k_u-TJusbu2aA69S
▶️ https://www.iq.com/play/%E6%88%91%E5%9C%A8%E6%9C%AA%E4%BE%86%E7%AD%89%E4%BD%A0-%E7%AC%AC1%E9%9B%86-19rsu3sgxg?lang=zh_tw",Done,編劇 譚苗、魯昱暉、邢嘉芸,2019
JJ林俊傑 - 曹操,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.37.39.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1Dq4y127RY/?share_source=copy_web,Done,,2006
遇見愛情的利先生 Love & Life & Lie,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/yu.png,2014年3月23日,,導演 陳銘章,劇集 Series,,Done,編劇 祝明,2014
模仿犯 Copycat Killer,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/ck.png,2023年3月31日,片花剪輯,導演 張榮吉、張亨如,預告片花 Trailer,,Done,編劇 王加安、何昕明、尤以青、周克威、吳俊佑,2023
百味小廚神：中元大餐 Genius Chef Junior : Ghost Festival,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/b1.png,2023年8月20日,,導演 李權洋、王威翔,劇集 Series,"▶️ https://www.youtube.com/watch?v=zEPajwWxY1I
▶️ https://www.kktv.me/titles/02000405",Done,編劇 蔡岳霖、莊榮祚,2023
漂洋過海來看你 Across The Ocean to See You,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/pp.png,2017年4月2日,,導演 陳銘章,劇集 Series,"▶️ https://youtu.be/16niGkuoXus?si=fGb_hdzFVCOpO-F4
▶️ https://www.kktv.me/titles/03000940
▶️ https://www.myvideo.net.tw/details/3/23656",Done,編劇 姚瑤,2017
她們創業的那些鳥事 The Arc of Life,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/b.jpg,2021年1月31日,獲金鐘獎女配角獎,導演 馮家瑞、許肇任、林志儒,劇集 Series,"▶️ https://www.youtube.com/watch?v=1CnIPdq5IrU
▶️ https://www.iq.com/album/%E5%A5%B9%E5%80%91%E5%89%B5%E6%A5%AD%E7%9A%84%E9%82%A3%E4%BA%9B%E9%B3%A5%E4%BA%8B-2021-289fg6fgdl1?lang=zh_tw",Done,編劇 呂蒔媛,2021
憤怒的菩薩 Bodhisattva in Storm,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/f.png,2018年8月18日,獲金鐘獎攝影獎、入圍金鐘獎迷你劇集獎、導演獎、燈光獎。,導演 許肇任,劇集 Series,"▶️ https://www.youtube.com/watch?v=vKpkPNunJCM
▶️ https://www.ptsplus.tv/zh/programs/48477d4a-19bd-425a-a944-a31705ca83d7",Done,編劇 李中、陳思宇、傅凱羚、吳子維、許肇玲,2018
SNEILA: You Will Never Know,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Capture-2024-09-03-155749.png,,"In the distant future, a battle-worn convict escapes from prison in a desperate attempt to find a rumored utopia on a post-war, alien-inhabited planet Earth. Before being shot down by authorities, he’s rescued by a mysterious young woman. The question is—has he been saved… or taken prisoner?",導演 Peilin Kuo,短片 Short Film,"▶️ https://youtu.be/AfzUmkTVL9I?si=lE89_ePRADrycxai
https://www.imdb.com/title/tt28230029/",Done,編劇 Peilin Kuo,2023
我們與惡的距離 II The World Between Us : After the Flames,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/465770448_999329548898087_4926480661735176701_n.jpg,,"故事從一場超市縱火案展開，24歲的嫌犯造成五死十二傷的慘劇，這案件成為施⾏國民法官制度後，首個可能判處死刑的案例。
大火也燒出了六個家庭交織的命運，時有錯過又彼此牽扯，他們背負著各自生命故事跨越了20年，復仇、背叛、傷害、墜落，並相互救贖，在隨機殺人事故之後，命運會將這六個家庭帶往何處？",導演 林君陽,劇集 Series,"▶️ https://www.facebook.com/theworldbetweenus2019
▶️https://www.youtube.com/watch?v=eMIlVu0ho2I
▶️https://www.youtube.com/watch?v=eMIlVu0ho2Ihttps://www.youtube.com/watch?v=mpXdQwrz1uo
▶️ https://youtu.be/V6aWZC6dT94?si=YFx-TtOEiO9PzJH0
▶️ https://youtu.be/Z1HTxQ2WjPs?si=JMmVIN1a7BZ3xkz3",Done,編劇 呂蒔媛,2025
游鴻明 - 詩人的眼淚,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/y.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1jL411p7mE/?share_source=copy_web,Done,,2006
F.I.R. 飛兒樂團 - 飛行部落,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_11.41.03.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1tz411z7Tf/?share_source=copy_web,Done,,2007
JJ林俊傑 - 不死之身,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.41.08.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1VL4y1578U/?share_source=copy_web,Done,,2006
茶金 Gold Leaf,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tea.jpg,2022年11月13日,超前導預告、前導預告、片花剪輯,導演 林君陽,預告片花 Trailer,"▶️ https://www.youtube.com/watch?v=elAn2KcGgps
▶️ https://www.youtube.com/watch?v=34DvsWTU704",Done,編劇 徐彥萍,2022
S.H.E.  - 不想長大,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/sss.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV12S4y1C7a5/?share_source=copy_web,Done,,2005
蘇菲亞鑽石 TVC Edmund篇,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/s.png,,,導演 梁景昇,廣告 Commercial,▶️ https://youtu.be/uXX6m356CsM?si=UfwnkBKHQCGLN9o5,Done,,
彩虹的重力 The Gravity of A Rainbow,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/cc.png,2019年10月16日,,導演 林清振,劇集 Series,"▶️ https://www.youtube.com/watch?v=_nl6awB1HQ8
▶️ https://www.iq.com/play/%E5%BD%A9%E8%99%B9%E7%9A%84%E9%87%8D%E5%8A%9B-%E7%AC%AC1%E9%9B%86-19rttuaqa4?lang=zh_tw",Done,編劇 施定柔,2019
甜.祕密 Together,"%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/together_%E8%97%8D%E5%B0%8F%E6%AA%94_0.png, %E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/mimi.jpg",2012年11月30日,金馬獎最佳新導演、新演員、原創電影歌曲提名，入選釜山影展、溫哥華影展、柏林影展、香港國際電影節，並獲選為金馬國際影展開幕片。,導演 許肇任,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=pILZuWicf78
▶️ https://www.iq.com/album/%E7%94%9C%E2%80%A7%E7%A5%95%E5%AF%86-2012-19rrkr2wiw?lang=zh_tw",Done,編劇 莊世鴻,2012
牛車來去 Oxcart Trails,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/car.png,2023年1月14日,獲金鐘獎最佳編劇、女配角獎，入圍戲劇節目、導演、男主角、女主角、男配角、女配角、原創歌曲、最具人氣戲劇節目獎。,導演 李岳峰、張志鴻,劇集 Series,"▶️ https://www.youtube.com/watch?v=JsPFr7vrO-I
▶️ https://www.netflix.com/tw/title/81731767
▶️ https://hamivideo.hinet.net/product/210517.do?cs=2",Done,編劇 李岳峰、徐慧琴、李怡慶、黃品瑄,2023
茶金 Gold Leaf,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tea.jpg,2022年11月13日,"獲金鐘獎剪輯獎、女配角獎，入圍金鐘獎戲劇節目、導演、編劇、男主角、男配角、攝影、燈光、美術設計、造型設計、視覺特效、配樂、主題歌曲、節目創新、最具人氣戲劇節目獎。

1949年，全臺灣最大茶葉出口商的獨生女張薏心，原本應招贅一個男人，接管她的人生與父親吉桑的龐大事業。為了證明自己的價值，她介入債台高築的家族事業，在一個沒有「女商人」的時代，她要如何在一場場「茶葉商戰」中，帶領著搖搖欲墜的公司走向世界？",導演 林君陽,劇集 Series,"▶️ https://www.youtube.com/watch?v=elAn2KcGgps
▶️ https://www.youtube.com/watch?v=34DvsWTU704
▶️ https://www.youtube.com/watch?v=qj3sJ5hPQeQ
▶️ https://www.netflix.com/tw/title/81516613",Done,編劇 徐彥萍,2022
應屆退休生,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tui.png,2009年1月11日,獲金鐘獎男配角獎，入圍金鐘獎燈光獎,導演 林子平,電視電影 TV Movie,▶️ https://youtu.be/sOaGIL0jkWc?si=xDL-EViK7PPQhUVY,Done,編劇 陳宏宇、鄭婉玭,2009
陶喆 - 忘不了,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.15.22.png,,,,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV14gsFeeESE/?share_source=copy_web,Done,,2006
牽紙鷂的手 The Kite Soaring,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/q.png,2010年3月23日,獲金鐘獎編劇獎、男配角獎、剪輯獎，入圍金鐘獎戲劇節目、男主角、導演獎、美術設計獎。,導演 許肇任、林志儒,劇集 Series,"▶️ https://youtu.be/MkVtN64Aixs?si=wS7EaFiAkeJXRFuQ
▶️ https://www.hakkatv.org.tw/series/1624270018408236",Done,編劇 呂蒔媛,2010
人選之人—造浪者 Wave Makers,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/p.jpg,2023年4月28日,片花剪輯,導演 林君陽,預告片花 Trailer,,Done,編劇 簡莉穎、厭世姬,2023
陶晶瑩 - 嫉妒,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.59.19.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/TzDgS_E_GIk?si=x9Px_h_Xm3QHqgul,Done,,2005
有生之年 Living,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/%25E6%259C%2589%25E7%2594%259F%25E4%25B9%258B%25E5%25B9%25B4.jpg,2023年9月17日,"獲金鐘獎戲劇節目獎、導演獎、男女主角獎、男配角獎、新人獎，入圍編劇獎、剪輯獎、造型設計獎、女配角獎。

高嘉岳突然回家了，離家多年卻豪不客氣地闖進高家的日常，大家心裡都巴不得嘉岳趕快離開。唯獨姪子丞佑喜歡找嘉岳相處，因為他覺得嘉岳是個很不一樣的大人。
嘉岳發現不單只有自己，每個人的人生都好難好難，爸媽感情失和、二弟在家中一直沒有歸屬感、三弟對未來很茫然，但他們還是跌跌撞撞地在人生道路上前進著。",導演 許肇任、林志儒,劇集 Series,"▶️ https://www.youtube.com/watch?v=GIsbiu5JpNU
▶️ https://www.netflix.com/title/81703393
▶️ https://hamivideo.hinet.net/product/236094.do?cs=2",Done,編劇 杜政哲、林晏如,2023
回聲,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/hui2.png,2011年2月27日,,導演 趙正平,電視電影 TV Movie,"▶️ https://youtu.be/_SaCtAY6T_E?si=3NHL2kdw_hdqRWT8
▶️ https://www.litv.tv/drama/watch/VOD00075230",Done,編劇 陳世杰、王詞仰,2011
S.H.E.、飛輪海 - 新窩,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/s%201.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=mtdimg62BLs,Done,,2008
Tank -  激戰,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tttt.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1ZV4y1N7gW/?share_source=copy_web,Done,,2006
熱血高校 Judo High,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/rere.png,2018年7月2日,,導演 許肇任,劇集 Series,▶️ https://fb.watch/umHPoOtMLV/,Done,編劇 陳文梓,2018
滾石愛情故事：愛情、愛我別走 In Love,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/rr.png,2016年4月9日,,導演 陳銘章,劇集 Series,"▶️ https://youtu.be/kFNnsZYrSUw?si=F4xsNvQSO8VAz0vz
▶️ https://youtu.be/INIE_z1sUiM?si=m0RvByIZyjwjn0ss",Done,編劇 吳洛纓、毛訓容,2016
百味小廚神：午餐爭霸戰 Genius Chef Junior : Let’s Cook Lunch,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/%25E4%25B8%25A6.png,2023年9月3日,,導演 李權洋、王威翔,劇集 Series,"▶️ https://www.youtube.com/watch?v=mFBTUO0XV-0
▶️ https://www.kktv.me/play/02000404",Done,編劇 蔡岳霖、莊榮祚,2023
Tank - 街頭霸王 電影版,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tank.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV19P4y1m7nt/?share_source=copy_web,Done,,2007
三角COOL - 三角COOL,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/3.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/e2g-sYZWEtg?si=YPzcE-9zhzy9bPdg,Done,,2007
蔡健雅 - 深信不疑,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.31.37.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/9sHSs5mGy1M?si=ARrvs4v6oajVokvx,Done,,2006
UNI water - 條碼篇,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/uni.png,,,導演 蕭雅全,廣告 Commercial,▶️ https://youtu.be/ZOhZsUH-kqg?si=GAoff3yXdXZVR9lk,Done,,2006
酸甜之味 Family Time,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/s.jpg,2017年3月18日,獲金鐘獎導演獎、編劇獎，入圍金鐘獎戲劇節目獎、新進演員獎。,導演 許肇任,劇集 Series,"▶️ https://youtu.be/yrQaxsqMXzU?si=0nGVk94GM5uW9MRS
▶️ https://www.youtube.com/playlist?list=PLyHieqImaj4yhNFT1D0xByD_IKbD2ljwA",Done,編劇 杜政哲、楊惠文,2017
遇見王瀝川 Remembering Lichuan,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-03_at_20.02.19%201.png,2016年7月31日,豆瓣8.9，獲安徽衞視國劇盛典年度電視劇獎項。,導演 陳銘章,劇集 Series,"▶️ https://youtu.be/xFMotwsGRSY?si=QRd74RZ9YP1yjy7W
▶️ https://youtu.be/_PtmhmMvGG0?si=hQgO8EKh8ooUAMYY
▶️ https://youtu.be/NV74g3OEGag?si=qiHVK-azrqb5vDOC",Done,編劇 施定柔,2016
克拉戀人 Diamond Lover,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/ke.png,2015年7月22日,,導演 陳銘章,劇集 Series,,Done,編劇 李捷,2015
中華電信光世代 - 建設篇,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/z1.png,,,導演 蕭雅全,廣告 Commercial,▶️ https://youtu.be/dmtwySeQDtE?si=Nf558FCU40C0fQtI,Done,,2007
Tank -  鬥牛要不要,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/ttt.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV19D4y1W7SU/?share_source=copy_web,Done,,2007
痴情男子漢 All Because of Love,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/chi.jpg,2017年8月18日,金馬獎最佳新演員提名。,導演 連奕琦,電影 Feature Film,"▶️ https://www.youtube.com/watch?v=5B7AEEOZpSQ
",Done,編劇 劉梓潔 林宇辰 連奕琦,2017
蕭蕭 - 想忘了,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.11.50.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/jyE6ugYFYlQ?si=1dGir2LpStLQ4Edo,Done,,2006
李玖哲 - 小胖子的一天,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/lili.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/Ca2R8tvp41Q?si=cI-lxfE1BDSskxV0,Done,,2007
F.I.R. 飛兒樂團 - 月牙灣,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/f%201.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1N4411K76g/?share_source=copy_web,Done,,2007
中華電信光世代 - 決心篇,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/z2.png,,,導演 蕭雅全,廣告 Commercial,▶️ https://youtu.be/v5kNzOjC1vk?si=vPEbSu1-g0x8h0iP,Done,,2007
我在1949，等你 Letter 1949,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/1949.png,2009年11月9日,入圍金鐘獎男配角獎、美術設計獎,導演 陳銘章、鄧安寧,劇集 Series,https://youtu.be/GxIEhtoBQxE?si=meqOCzYhR-KyXY48,Done,編劇 吳洛纓、吳維君、張瑋庭、楊景翔、潘冠宏,2009
醉後決定愛上你 Love You / While We Were Drunk,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/zui.png,2011年4月17日,入圍金鐘獎 最佳戲劇節目、男主角、導演獎、節目行銷獎,導演 陳銘章,劇集 Series,"▶️ https://youtu.be/0hIaDH9OL0I?si=Wdpn7tHHOCQnJAGP
▶️ https://www.netflix.com/watch/80111917?source=35
▶️ https://www.youtube.com/watch?v=RrVRomWV0G4&list=PL_N94HRA643pJEfyWUU6E0ZcERrBkPnXQ",Done,編劇 陸亦華、簡佑玶、孫向妘、陳炘怡、陳泰霖,2011
